filename, language, C++, HTML, C, comment, blank, total
Decapsulator.cc, C++, 33, 0, 0, 46, 6, 85
Decapsulator.h, C++, 13, 0, 0, 38, 5, 56
Encapsulator.cc, C++, 54, 0, 0, 50, 9, 113
Encapsulator.h, C++, 14, 0, 0, 45, 7, 66
agent.cc, C++, 381, 0, 0, 99, 57, 537
agent.h, C++, 88, 0, 0, 44, 28, 160
bi-connector.cc, C++, 104, 0, 0, 34, 13, 151
bi-connector.h, C++, 22, 0, 0, 40, 13, 75
connector.cc, C++, 76, 0, 0, 39, 11, 126
connector.h, C++, 19, 0, 0, 38, 6, 63
doc-hdr.html, HTML, 0, 8, 0, 0, 1, 9
encap.cc, C++, 10, 0, 0, 35, 5, 50
encap.h, C++, 15, 0, 0, 36, 6, 57
flags.h, C++, 27, 0, 0, 57, 8, 92
fsm.cc, C++, 1909, 0, 0, 201, 265, 2375
fsm.h, C++, 89, 0, 0, 53, 16, 158
heap.h, C++, 56, 0, 0, 102, 24, 182
ip.cc, C++, 21, 0, 0, 33, 6, 60
ip.h, C++, 35, 0, 0, 53, 16, 104
ivs.cc, C++, 329, 0, 0, 94, 58, 481
location.h, C++, 27, 0, 0, 36, 7, 70
main-modular.cc, C++, 25, 0, 0, 42, 13, 80
main-monolithic.cc, C++, 6, 0, 0, 37, 5, 48
message.cc, C++, 62, 0, 0, 37, 12, 111
message.h, C++, 14, 0, 0, 36, 7, 57
messpass.cc, C++, 146, 0, 0, 6, 25, 177
messpass.h, C++, 26, 0, 0, 0, 8, 34
misc.cc, C++, 181, 0, 0, 39, 22, 242
mobilenode.cc, C++, 436, 0, 0, 92, 81, 609
mobilenode.h, C++, 138, 0, 0, 76, 42, 256
net-interface.cc, C++, 36, 0, 0, 47, 8, 91
net-interface.h, C++, 22, 0, 0, 50, 9, 81
node.cc, C++, 237, 0, 0, 58, 30, 325
node.h, C++, 93, 0, 0, 76, 34, 203
ns-process.cc, C++, 38, 0, 0, 54, 7, 99
ns-process.h, C++, 49, 0, 0, 66, 23, 138
object.cc, C++, 56, 0, 0, 41, 13, 110
object.h, C++, 23, 0, 0, 38, 9, 70
packet-stamp.h, C++, 34, 0, 0, 20, 12, 66
packet.cc, C++, 107, 0, 0, 34, 21, 162
packet.h, C++, 519, 0, 0, 155, 103, 777
parentnode.cc, C++, 75, 0, 0, 52, 11, 138
parentnode.h, C++, 39, 0, 0, 64, 18, 121
pkt-counter.cc, C++, 39, 0, 0, 48, 8, 95
ptypes2tcl.cc, C++, 82, 0, 0, 4, 8, 94
scheduler-map.cc, C++, 70, 0, 0, 36, 18, 124
scheduler.cc, C++, 767, 0, 0, 237, 125, 1129
scheduler.h, C++, 146, 0, 0, 47, 29, 222
session-rtp.cc, C++, 138, 0, 0, 35, 23, 196
sessionhelper.cc, C++, 326, 0, 0, 58, 40, 424
simulator.cc, C++, 211, 0, 0, 58, 22, 291
simulator.h, C++, 33, 0, 0, 47, 9, 89
splay-scheduler.cc, C++, 248, 0, 0, 96, 44, 388
tclAppInit.cc, C++, 143, 0, 0, 110, 41, 294
timer-handler.cc, C++, 47, 0, 0, 53, 8, 108
timer-handler.h, C++, 32, 0, 0, 78, 14, 124
tkAppInit.cc, C++, 170, 0, 0, 155, 65, 390
tp.cc, C++, 67, 0, 0, 5, 17, 89
tp.h, C++, 17, 0, 0, 0, 8, 25
tpm.cc, C++, 119, 0, 0, 63, 30, 212
tpm.h, C++, 38, 0, 0, 51, 17, 106
ttl.cc, C++, 89, 0, 0, 39, 9, 137
win32.c, C, 0, 0, 461, 75, 66, 602
Total, -, 8466, 8, 461, 3588, 1681, 14204
